Time (day),Date,M-Cumulative Oil SC
0,2013-05-31 00:00:00,0
1,2013-06-01 00:00:00,3000
30,2013-06-30 00:00:00,90000
61,2013-07-31 00:00:00,183000
92,2013-08-31 00:00:00,276000
122,2013-09-30 00:00:00,366000
153,2013-10-31 00:00:00,459000
183,2013-11-30 00:00:00,549000
214,2013-12-31 00:00:00,642000
245,2014-01-31 00:00:00,735000
273,2014-02-28 00:00:00,819000
304,2014-03-31 00:00:00,912000
334,2014-04-30 00:00:00,1002000
365,2014-05-31 00:00:00,1095000
395,2014-06-30 00:00:00,1185000
426,2014-07-31 00:00:00,1278000
457,2014-08-31 00:00:00,1371000
487,2014-09-30 00:00:00,1461000
518,2014-10-31 00:00:00,1554000
548,2014-11-30 00:00:00,1644000
579,2014-12-31 00:00:00,1737000
610,2015-01-31 00:00:00,1830000
638,2015-02-28 00:00:00,1914000
669,2015-03-31 00:00:00,2007000
699,2015-04-30 00:00:00,2097000
730,2015-05-31 00:00:00,2187249.25
760,2015-06-30 00:00:00,2273064.25
791,2015-07-31 00:00:00,2360221.75
822,2015-08-31 00:00:00,2445945.75
852,2015-09-30 00:00:00,2527626.25
883,2015-10-31 00:00:00,2610752.25
913,2015-11-30 00:00:00,2690054
944,2015-12-31 00:00:00,2770855.5
975,2016-01-31 00:00:00,2850563.75
1004,2016-02-29 00:00:00,2924204
1035,2016-03-31 00:00:00,3001938.5
1065,2016-04-30 00:00:00,3076267
1096,2016-05-31 00:00:00,3152164
1126,2016-06-30 00:00:00,3224785.25
1157,2016-07-31 00:00:00,3298984
1188,2016-08-31 00:00:00,3372362.75
1218,2016-09-30 00:00:00,3442622.75
1249,2016-10-31 00:00:00,3514454.75
1279,2016-11-30 00:00:00,3583259.5
1310,2016-12-31 00:00:00,3653627
1341,2017-01-31 00:00:00,3723270
1369,2017-02-28 00:00:00,3785588.75
1400,2017-03-31 00:00:00,3853903
1430,2017-04-30 00:00:00,3919368.75
1461,2017-05-31 00:00:00,3986348
1491,2017-06-30 00:00:00,4050543.75
1522,2017-07-31 00:00:00,4116220
1553,2017-08-31 00:00:00,4181255.5
1583,2017-09-30 00:00:00,4243600.5
1614,2017-10-31 00:00:00,4307410.5
1644,2017-11-30 00:00:00,4368593.5
1675,2017-12-31 00:00:00,4431217
1706,2018-01-31 00:00:00,4493254.5
1734,2018-02-28 00:00:00,4548804
1765,2018-03-31 00:00:00,4609742
1795,2018-04-30 00:00:00,4668190.5
1826,2018-05-31 00:00:00,4728042.5
1856,2018-06-30 00:00:00,4785464
1887,2018-07-31 00:00:00,4844281
1918,2018-08-31 00:00:00,4902584.5
1948,2018-09-30 00:00:00,4958524
1979,2018-10-31 00:00:00,5015841.5
2009,2018-11-30 00:00:00,5070856
2040,2018-12-31 00:00:00,5127233
2071,2019-01-31 00:00:00,5183145.5
2099,2019-02-28 00:00:00,5233269.5
2130,2019-03-31 00:00:00,5288325
2160,2019-04-30 00:00:00,5341194
2191,2019-05-31 00:00:00,5395395
2221,2019-06-30 00:00:00,5447457
2252,2019-07-31 00:00:00,5500842.5
2283,2019-08-31 00:00:00,5553827.5
2313,2019-09-30 00:00:00,5604732.5
2344,2019-10-31 00:00:00,5656947
2374,2019-11-30 00:00:00,5707125
2405,2019-12-31 00:00:00,5758605
2436,2020-01-31 00:00:00,5809713
2465,2020-02-29 00:00:00,5857205
2496,2020-03-31 00:00:00,5907615
2526,2020-04-30 00:00:00,5956071.5
2557,2020-05-31 00:00:00,6005805.5
2587,2020-06-30 00:00:00,6053623.5
2618,2020-07-31 00:00:00,6102710
2649,2020-08-31 00:00:00,6151475.5
2679,2020-09-30 00:00:00,6198370.5
2710,2020-10-31 00:00:00,6246520.5
2740,2020-11-30 00:00:00,6292831
2771,2020-12-31 00:00:00,6340389.5
2802,2021-01-31 00:00:00,6387657.5
2830,2021-02-28 00:00:00,6430112
2861,2021-03-31 00:00:00,6476834
2891,2021-04-30 00:00:00,6521786.5
2922,2021-05-31 00:00:00,6567966
2952,2021-06-30 00:00:00,6612403.5
2983,2021-07-31 00:00:00,6658060
3014,2021-08-31 00:00:00,6703456
3044,2021-09-30 00:00:00,6747143
3075,2021-10-31 00:00:00,6792028.5
3105,2021-11-30 00:00:00,6835224
3136,2021-12-31 00:00:00,6879598.5
3167,2022-01-31 00:00:00,6923717.5
3195,2022-02-28 00:00:00,6963361
3226,2022-03-31 00:00:00,7007013
3256,2022-04-30 00:00:00,7049035
3287,2022-05-31 00:00:00,7092228
3317,2022-06-30 00:00:00,7133813.5
3348,2022-07-31 00:00:00,7176561
3379,2022-08-31 00:00:00,7219085
3409,2022-09-30 00:00:00,7260030
3440,2022-10-31 00:00:00,7302121.5
3470,2022-11-30 00:00:00,7342645
3501,2022-12-31 00:00:00,7384303
3532,2023-01-31 00:00:00,7425746
3560,2023-02-28 00:00:00,7463003
3591,2023-03-31 00:00:00,7504044
3621,2023-04-30 00:00:00,7543566.5
3652,2023-05-31 00:00:00,7584203.5
3682,2023-06-30 00:00:00,7623338.5
3713,2023-07-31 00:00:00,7663577.5
3744,2023-08-31 00:00:00,7703618
3774,2023-09-30 00:00:00,7742189.5
3805,2023-10-31 00:00:00,7781862.5
3835,2023-11-30 00:00:00,7820083
3866,2023-12-31 00:00:00,7859395
3897,2024-01-31 00:00:00,7898528.5
3926,2024-02-29 00:00:00,7934981
3957,2024-03-31 00:00:00,7973772.5
3987,2024-04-30 00:00:00,8011148
4018,2024-05-31 00:00:00,8049594.5
4048,2024-06-30 00:00:00,8086636.5
4079,2024-07-31 00:00:00,8124737.5
4110,2024-08-31 00:00:00,8162660.5
4140,2024-09-30 00:00:00,8199196
4171,2024-10-31 00:00:00,8236778.5
4201,2024-11-30 00:00:00,8272988
4232,2024-12-31 00:00:00,8310234
4263,2025-01-31 00:00:00,8347310
4291,2025-02-28 00:00:00,8380659
4322,2025-03-31 00:00:00,8417416
4352,2025-04-30 00:00:00,8452831
4383,2025-05-31 00:00:00,8489262
4413,2025-06-30 00:00:00,8524366
